density	habitat
0.790316211169172	A
1.26759407988346	A
2.44040147220621	C
4.17154357500418	A
1.69857942285376	C
4.88879654392503	B
3.61832355407673	B
1.07094392309537	B
2.33625963084592	C
1.24393292398239	B
4.70690941753902	B
3.74379306205624	A
1.55459267959682	B
4.03322929263466	B
2.62825277277451	B
3.99662065289775	B
0	A
2.82468066188958	C
0	A
1.07809261113809	A
0	A
3.90322015073991	C
3.63588467289129	B
7.67637736757915	B
0.653517553350048	A
4.29816200355204	A
3.14476767611921	B
4.82714651011511	B
1.60246718881606	C
5.58181004209097	B
1.86348757200642	C
0	A
0.64776732767704	B
7.17386044737973	B
4.33965665409724	C
1.44790139598755	A
0.553059231582346	A
2.38682000666931	A
2.28904560532917	B
3.79550915137156	A
4.44522173542234	B
4.02045336373525	B
3.76968170998869	B
4.01608829234236	B
4.34123901372628	B
5.28097407143413	A
3.63593398699153	B
2.53791946933697	C
2.30084733518199	B
2.86400517427845	B
2.94305504239292	B
1.06123537539851	C
5.43642054096097	B
0.561706960332466	A
5.19661345117017	A
1.57632817226502	A
0.768722033859375	C
2.29047335505504	B
1.45502588257908	C
4.38409903253607	B
3.10100233844675	B
2.58469888429418	A
5.64236162223914	B
1.71832177653593	B
3.22222963657955	C
3.99580176738675	C
1.34074110772068	C
1.5411175268637	C
2.16599898122162	B
0.646026302448669	C
3.14159885360441	C
1.06622087167367	C
4.3922827034101	B
0	A
1.44406472760519	B
1.06973438817231	B
1.633618912698	C
2.84555382549244	A
3.87465188242445	C
3.49163324072511	A
3.0018011428328	C
1.87680948692679	B
3.0506039392377	B
0	A
6.87667972520355	A
0	A
1.32883419395835	A
3.26839854861072	B
4.20554035309757	C
1.84860371838947	C
2.93444156257157	C
8.38169162674218	A
4.27871705666291	B
5.0037623377454	B
4.4232566872229	C
4.69981697068452	B
4.8573536469805	C
6.45181717075428	B
3.53321765614766	B
2.03398420041745	C
2.13929271363722	A
2.21221512006152	B
0	A
2.13919603981691	C
1.83425791525452	C
2.4007167338879	B
4.73945591371	B
3.33624949757463	B
1.22075114598016	A
4.08453443825822	B
2.63606094008439	B
1.99732357767483	C
11.2676930606788	B
0.865290193392008	C
4.18860133573628	B
0	A
4.10921619318283	A
2.38125500221796	B
4.70732097003675	B
2.01674501065161	C
1.33949192171707	C
3.81078666330279	C
4.52884936826347	B
2.22941893950179	A
4.25465570766399	B
6.83725311351964	B
7.45163902943523	B
2.7103820457722	C
3.04132656149821	C
3.25372933100554	B
1.21602563897814	A
4.55858330040791	B
2.51761456077899	C
5.57328092724659	B
3.79935987562101	B
2.12820967833787	B
20.4971055931815	A
3.42522969691438	C
1.40717416035122	C
1.64134936919334	B
2.10762619310587	B
0	A
2.3344176077344	A
4.7672852829391	A
3.99614517995675	A
3.35696607402743	C
0	A
3.06762619555038	B
2.8097014610578	C
1.75544866611153	C
5.25214860136074	A
3.96840744621395	C
4.83757723523577	A
3.17588200096549	B
1.53213449276965	A
4.09858156758795	B
1.05858401430799	C
5.40585165450551	B
0	A
0.663266238860713	C
3.6000359222917	B
5.86688985768203	B
0	A
0.892451829532163	C
4.51222870350191	B
2.46271379106593	C
3.06847431302225	C
5.96001406986419	A
0	A
2.54435220889139	B
10.05142495364	A
0	A
1.59867807423398	B
2.8907540937743	B
0	A
3.36112305989563	A
1.6008642762963	C
3.02732229705024	B
4.21954376521099	B
6.51772942311643	B
2.67590143993263	A
1.86931775473284	C
0.60226616431613	A
9.27680909437051	C
8.87886859585735	A
0.538179623646786	A
1.88683945324891	C
5.20069867392015	C
0.720966967773111	A
3.60176913751364	B
2.03515652586419	A
5.31907187359368	C
1.27244777084152	B
6.00891118841276	B
1.91608706367563	C
4.05058887106582	A
6.41743318484579	B
16.3364861688351	A
3.12020538375041	B
1.34978439085287	A
0	A
2.7396902357237	A
3.35679012066541	A
2.39901926171969	B
2.7492927663978	B
0	A
3.01043035628897	B
3.06989290338904	B
1.77917194876813	B
0	A
0.765737244241492	A
3.2294809745611	A
0	C
3.95529135555363	B
1.25761181272692	C
0	A
1.22246280503857	A
9.85570304358922	B
1.47956266798508	B
4.71236206802662	C
1.76100052118547	C
2.93720835668958	B
1.33129196350113	B
3.59856938334869	C
0.839077161705592	A
1.96581933181336	C
3.0970546619215	B
0.994380907943154	A
5.50003825435323	B
2.30198566330214	C
7.53001109620568	B
2.55065438567873	B
1.41441922210107	A
1.96127896590827	B
3.77090321608884	B
0	A
1.83519528233803	B
0	A
10.0315877490428	A
3.92631364484891	C
1.55772378918787	A
2.3316304976506	B
0	A
1.92608372201508	B
9.3831411656915	B
2.33797740702263	B
1.56333619075561	B
6.17466969099373	B
3.54877303839293	B
2.61432080704779	A
0.714263255394936	A
0.835588728463222	C
1.06348009945435	A
2.64265756503141	A
0.999070487581875	C
1.53704380204037	A
6.92038341771004	B
2.80007456625121	A
4.41222986101849	C
5.02481379377584	A
8.36060372907478	B
2.02360354673493	C
2.44189988252912	B
0.523043154721131	C
4.75935346762537	B
2.81201887254358	C
0	A
1.07932904704209	A
4.95014103421863	B
3.61469231509569	B
2.09851655872541	A
5.71782616743419	A
1.0729132235969	C
3.16030839083251	B
1.0824100067661	A
2.55753934900345	B
2.99155486434126	A
3.85665227422585	B
11.2116114491898	A
1.16104253315956	A
5.03662661324627	B
4.40644744793572	A
5.76790776556436	B
5.38687343815335	B
0	A
0	A
0	A
4.04246944084487	B
0.529693132108522	A
2.55200513196013	B
4.93880255126005	B
3.175354918296	B
3.63059869166799	C
5.32142429256649	C
3.08805454916626	A
0.628450729891739	C
5.20160865799274	B
0.973505442041278	C
3.18047779208883	B
10.5158958331832	A
